,video_id,comments
0,pu_APQXgXqA,"['Щиро вдячний вам за вашу працю. Україна понад усе!', 'Orks Vs humans', '✌️💯🇺🇦❤️👍']"
1,WADQBTNnQw4,"['Моя мрія щоб росії взагалі не було', 'Те саме ми зробили з російською мовою в ЮТУБІ для наших дітей.\nДивляться лтше українською та англійською.', 'Мотивує!', 'Проблема в тому, що дитина не розуміє російську?! Може навпаки?)', 'Я дочці теж фільтрував контент від народження. Щоправда живучи під Києвом уникнути російської на майданчику майже неможливо.\nЗараз кількість російськомовних на майданчику сильно виросла, тому в дитячій мові зявилось багато слів з ""російською вимовою"" (замість ""звЕрху"" - ""звЄрху""). Але прикол в тому, що вона так почнає говорити коли грає ""маленьку дитинку"".', 'якби ж я ніколи не знала російської', 'Повага таким батькам!', 'Мрію також не розуміти язика', ""Я думаю якраз у цьому і річ, що батьки фільтрують контент, бо розмовляти в сім'ї  виключно українською недостатньо.\nМоя сестра, якій зараз 8 років, вивчила російську мову по відео з ютубу! В якийсь момент дитина просто почала переходити на російську мову коли гралася іграшками копіюючи дибільних російськомовних дитячих блогерів."", 'Перемога буде коли російську мову вважатимуть іноземною.']"
2,UqtNxk4MHB0,"['шо по дерьмаку, дядь?', 'А ногу на жинку можно поднимать?))', 'Там же наче найголовніше не про захист певних груп, а про те щоб були нормальні процедури в поліції - типу щоб жертвам зґвалтувань не треба було по 5 разів розповідати як то сталося.\nНа каналі «палає» був хороший стрім на цю тему не так давно', 'Вимагаю Константинопольську конвенцію де не можна бити чоловіків. В іншому випадку це якийсь херасмент за статевою ознакою', 'Все для жінок роблять, а обмеження тільки чоловікам і ти ""должен"".  Обнагліли жінки, як божество якесь']"
3,3mzsfAUpK5Q,"['Нехай з вами буде сила. \nДіма, найс футболка, в мене теж така є, скажи в кропі гарні скидки, да?!', 'спробуйте наступного разу ""Вогняр"" це український виробник дуже хороших соусів', 'Не знаю чому так мало переглядів', 'Ох я би з вами того гостренького поїла))', 'Офігенний формат! Це ви взяли з передачі hot ones, цей формат би дуже зайшов в Україні!', 'Це виглядало огидно і принизливо, тому повторіть ще раз, будь ласка ☺️', 'Про Дарт Вейдера всіляко підтримую.', 'У нас був воєнрук постійно бухий. Один раз він біг мимо мене, на ходу вкусив мій пиріжок з капустою в руці і побіг далі...', 'Пукан потім горітиме', 'Хлопці як сьогодні самопочуття? )']"
4,PeHPlYrzPlE,"['друзі, перепрошую..., але чи вам класно їбашити .за кокс???', 'Давно так не сміялася, дякую!', 'Стрім топ, всім учасникам дякую!', 'Класний випуск! Дякую вам! Все буде Україна!', 'Чекайте, сказали про труху, а про адекватні альтернативи не сказали, так не робиться, хлопці. я наприклад на весь цей треш підписана, бо просто не знаю де брати інформацію, на офіційних джерелах часто публікується з великим запізненням. Хоча на труху заходжу переважно по фото та відео для репостів кудись, але. Якщо сказали а, кажіть і б', 'Дякую, шо нагадали про Найтмена, я в дитинстві спецом записувала музику з заставки собі на касету)))', 'Я так завжди з дитиною і дивлюсь ютуб, з навушником😂', 'Охуєнний стрім', 'Кинув дивитися Stranger Things ще на перших серіях. Якщо серіалу потрібно більше 3-ьох серій щоб розкрутити події та хоч якось зацікавити глядача, нах*р такий серіал.', 'який охуєнний стрім, дякую за історії, топові жарти і розкрут!']"
5,qL8MnNdzMOc,"['- Ми на Patreon-i — https://www.patreon.com/itworksonmypc\n- Instagram — https://www.instagram.com/dimko1_official\n- Шит ай ноу Лайв. Podcast — https://shitiknow.live', 'Дякую за випуск !', ""Обов'язково українські субтитри, хоч авто. Бо є люди із недоліками слуху, їм це теж важливо.\nВдячний зарані!\nP.C. якщо є можливість -  передайте українському спільноті із Ютуба такі побажання. Можна і у відео!\n#ukrainian_by_default \n#ukrainian_dubbing_by_default \n#ukrainian_subtitles_by_default"", '""2027 рік... Нам залишилось зовсім небагато..."" Звучить не оптимістично)))', 'Вітаю', 'Обожню ""суб\'єктів новінів""!  коротко чітко і цікаво! а вставочки взагалі агонь!', 'Було б круто, якби в судовому порядку зачарджити гугл на користь України за такі речі. Гроші державі якраз дуже потрібн..', 'Клас! Дякую', 'Був у мене Meizu - MX5. Норм апарат!', 'Корпорації і людське обличчя, гарна спроба']"
6,gdXXOjL7PAQ,"['як говориться, «фінно-угри сваіх не брасают»', 'Проблема не тільки в Орбані, а й, як мінімум, у народі Угорщини, які теж повелися на красивий для них регрес', 'Никогда. Уже даже упоротые немцы отошли, а этот продолжает плясать под дудку Путлера.', 'Так орбан то як путлєр, він теж під себе Конституцію змінив, корупцію і брехати теж полюбляє', 'Орбан не може отямитись, бо він такий же консервативний автократ, який малює голоси, ставить своїх ставлеників та має стару систему, де все під його контролем. Він в минулих роках вже закрив найбільші незалежні видавництва та канали, залишивши тільки провладне, консервативне та ксенофобне ЗМІ, що працює на владу, заради того, щоб вона довше жила.']"
7,GcZYbPD5268,"['не хочу щоб Pootin померав, він має дожити до Ґааги 🙏', 'подія - якщо всі р@@@@ня здохне. Їх там 140 млн. путінів', 'Тю..  так він помер ще 7 років тому, то все його дублери скачуть по тв', 'якийсь дешевий хайп. Не схоже на вас!', 'точніше було б:\nна росії щось їбануло і вся хуйня передохла\nми більше ніколи не побачимо живих орків', 'ну ні моралі, ні гумора)) цікаво, чи можна відписатись лише від коротких відео? Бо звичайні відео дужн люблю Дімині і не хочеться їх пропускати', 'Треба пуйлу вилку в ,,булки,, штрикати, то він схоче померти....', '😄 не помер! А ми почекаємо', 'Ну земля ему стекловатой', 'Ну якщо навіть помре він, а хулі толку?']"
8,qeSxvg5KVjo,"['Viva Ukraine  Viva this cool.guy', 'Коло замкнулося', 'дайте ссилку з якого це ефіру, ніяк не можу знайти ((((', 'https://youtu.be/n64t8WlZzw0', 'Головний меседж ""інтернет це зло чи добро? "" відповідь - ТАК.', 'Все залежить від того чи вмієте ви фільтрувати інформацію. Дехто 10 років сидітиме в інтернеті і все одно буде перевіряти будь-яку інформацію, а хтось прочитавши газету одразу вірить в НЛО і коронавірус через 5G🤔', 'Я подсел на ваши шорты. Побольше бы их, да в тикток)', 'Вогонь - це добро чи зло? Залежить від того в яких цілях використовується.\nТак само інтернет - це просто інструмент або технологія яку можна використати в різних цілях.', 'Вельми вдячний!', 'Інтернет - це інструмент. А як його застосувати вирішує зли або добрий.']"
9,4PoBB0cAEJU,"['Гарна тусовка. В Дімі дали виспатися і стрім був. Одні плюси', 'дивлюсь канал тільки тоді, коли приходить Меланія. робіть висновки.', 'Ви точно в Дніпрі були, кєк?', 'Мелінія, Ярема і Олександр дякуємо вам за класний випуск! І Дімі звісно за те що було де його проводити))', 'А Малєєва кікнули?)\nто все через його лице? 😄', 'трошки  зелупоидной биды', ""Воу, я вже занадто молодий для цього. Я думав, дядько Сем пов'язаний з війною в В'єтнамі."", '1812 invasion of Canada,  тільки здала на громадянство.  США намагались захопити Канаду, не вийшло.', 'Хороший ефір і Діма відпочив☺️😅', 'Купіть ще одне крісло і залиште Меланію на цих стрімах 😆 вона крута']"
